img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,release_year
/games/boxart/full_7741700AmericaFrontccc.jpg,A Collection Of Activision Classic Games For The Atari 2600,PS,Misc,Activision,"Livesay Technologies, Inc.",3.8,1.37,0.76,,0.52,0.09,1998-09-23,,1998
/games/boxart/7172306ccc.jpg,Ridge Racer 7,PS3,Racing,Namco Bandai,Namco Bandai,,1.37,0.24,0.16,0.7,0.26,2006-11-13,,2006
/games/boxart/full_3823842AmericaFrontccc.jpg,Star Wars Knights Of The Old Republic Ii: The Sith Lords,XB,Role-Playing,Lucasarts,Obsidian Entertainment,,1.37,0.99,,0.33,0.05,2004-12-06,,2004
/games/boxart/full_2818201AmericaFrontccc.jpg,Lego Indiana Jones: The Original Adventures,PS2,Adventure,Lucasarts,Traveller's Tales,,1.37,0.6,,0.01,0.76,2008-06-03,,2008
/games/boxart/full_2824502AmericaFrontccc.jpg,Wolfenstein Ii: The New Colossus,PS4,Shooter,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.01,0.58,0.22,2017-10-27,2018-05-10,2017
/games/boxart/full_9625007AmericaFrontccc.jpg,Fifa 17,PS3,Sports,Electronic Arts,EA Canada,,1.36,0.14,0.04,0.98,0.2,2016-09-27,2018-03-28,2016
/games/boxart/full_3595470AmericaFrontccc.jpg,Skylanders Swap Force,X360,Platform,Activision,Unknown,,1.36,0.88,,0.35,0.13,2013-10-13,2018-03-20,2013
/games/boxart/full_marvel-vs-capcom-3-fate-of-two-worlds_944AmericaFront.jpg,Marvel Vs. Capcom 3: Fate Of Two Worlds,PS3,Fighting,Capcom,Capcom,8.2,1.36,0.81,0.11,0.28,0.15,2011-02-15,,2011
/games/boxart/full_goldeneye-007_5AmericaFront.jpg,Goldeneye 007,WII,Shooter,Activision,Eurocom Entertainment Software,8.0,1.36,0.76,0.0,0.6,,2010-11-02,,2010
/games/boxart/full_metroid-other-m_7AmericaFront.jpg,Metroid: Other M,WII,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.13,0.28,0.1,2010-08-31,,2010
