publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
Agetec,Racing,Dt Carnage,2009,0.0400,0.1100,0.36,weak entry
Aksys Games,Action,Gladiator Begins,2010,0.1300,0.1900,0.68,below median
Aksys Games,Adventure,Jake Hunter: Detective Chronicles,2008,0.0200,0.0400,0.50,below median
Aksys Games,Fighting,Guilty Gear Xx Accent Core,2007,0.0800,0.0800,1.00,above median
Aksys Games,Misc,Rockin' Pretty,2009,0.0500,0.1100,0.45,weak entry
Aksys Games,Platform,Bit.Trip Saga,2011,0.1400,0.1100,1.27,above median
Aksys Games,Puzzle,Squeeballs Party,2009,0.3700,0.0600,6.17,strong breakout
Aksys Games,Racing,Sorcery Saga: Curse Of The Great Curry God,2013,0.0300,0.0500,0.60,below median
Aksys Games,Role-Playing,Hoshigami: Ruining Blue Earth Remix,2007,0.0100,0.0850,0.12,weak entry
Aksys Games,Shooter,Castle Of Shikigami Iii,2008,0.0400,0.1800,0.22,weak entry
Aksys Games,Simulation,Minicopter: Adventure Flight,2008,0.0500,0.0800,0.63,below median
Aksys Games,Sports,Hooked! Real Motion Fishing,2007,0.2300,0.1700,1.35,above median
Aksys Games,Strategy,Record Of Agarest War Zero,2011,0.2300,0.0750,3.07,strong breakout
Aksys Games,Visual Novel,Zero Escape: Virtue'S Last Reward,2012,0.0300,0.0250,1.20,above median
Alawar Entertainment,Action,Paranormal Pursuit: The Gifted One,2015,0.0200,0.0600,0.33,weak entry
Alawar Entertainment,Adventure,Vampire Saga: Pandora'S Box,2009,0.0000,0.0300,0.00,weak entry
Alawar Entertainment,Strategy,Farm Frenzy 3,2009,0.0400,0.0300,1.33,above median
Alchemist,Action,Nicola Kanshuu: Model * Oshare Audition 2,2011,0.0600,0.1700,0.35,weak entry
Alchemist,Adventure,Aria: The Natural ~Tooi Yume No Mirage~,2006,0.0200,0.0400,0.50,below median
Alchemist,Misc,Nicola Kanshuu: Model * Oshare Audition,2010,0.0600,0.1100,0.55,below median
Alchemist,Shooter,Triggerheart Excelica Enhanced,2009,0.0200,0.1300,0.15,weak entry
Alchemist,Simulation,Gal Gun,2011,0.0400,0.0800,0.50,below median
Alchemist,Visual Novel,Umineko No Naku Koro Ni San: Shinjitsu To Gensou No Yasoukyoku,2011,0.0200,0.0200,1.00,above median
Alliance Digital Media,Misc,Stern Pinball Arcade,2017,0.0600,0.0300,2.00,strong breakout
Alpha Unit,Sports,Nihon Yakyuu Kikou Shounin: Batting Revolution,2009,0.0000,0.1650,0.00,weak entry
Alternative Software,Action,Rugby Union Team Manager 2015,2014,0.0000,0.1450,0.00,weak entry
Alternative Software,Simulation,Rugby Union Team Manager 2017,2016,0.0300,0.0300,1.00,above median
Alternative Software,Sports,Rugby League 3,2010,0.0700,0.1800,0.39,weak entry
Althi Inc.,Misc,Worldneverland: Elnea Kingdom,2018,0.0000,0.0300,0.00,weak entry
Alvion,Misc,Poupee Girl Ds,2009,0.0200,0.1100,0.18,weak entry
Anuman,Adventure,Syberia Iii,2016,0.0500,0.0300,1.67,above median
Aq Interactive,Action,Vampire Rain,2007,0.2100,0.2000,1.05,above median
Aq Interactive,Fighting,Suggoi! Arcana Heart 2,2009,0.0300,0.1400,0.21,weak entry
Aq Interactive,Misc,Higurashi No Naku Koro Ni: Jan,2009,0.0200,0.1100,0.18,weak entry
Aqua Plus,Adventure,To Heart 2: Dungeon Travelers,2015,0.0600,0.0400,1.50,above median
